confidence,detection Class,matched gt class,TP/FP,tp,fp,acc tp,acc fp,precesion,recall
0.9141332,car,car,TP,,,,,,
0.9097264,cyclist,cyclist,TP,,,,,,
0.8094003,cyclist,cyclist,TP,,,,,,
0.68464696,cyclist,None,FP,,,,,,
0.21259782,car,None,FP,,,,,,
0.122433834,car,None,FP,,,,,,
0.12210037,car,None,FP,,,,,,
0.11780109,car,None,FP,,,,,,
0.114590704,cyclist,None,FP,,,,,,
0.10308697,cyclist,None,FP,,,,,,
0.10165146,car,None,FP,,,,,,
0.10127285,car,None,FP,,,,,,
0.97139347,car,car,TP,,,,,,
0.68935114,cyclist,cyclist,TP,,,,,,
0.6599227,cyclist,cyclist,TP,,,,,,
0.626417,cyclist,cyclist,TP,,,,,,
0.22717075,car,None,FP,,,,,,
0.22281706,car,None,FP,,,,,,
0.19218552,car,None,FP,,,,,,
0.11150359,car,None,FP,,,,,,
0.110083714,car,None,FP,,,,,,
0.10645272,car,None,FP,,,,,,
0.10460082,car,None,FP,,,,,,
0.103019275,cyclist,None,FP,,,,,,
0.9942508,car,car,TP,,,,,,
0.9676563,cyclist,cyclist,TP,,,,,,
0.82347476,cyclist,cyclist,TP,,,,,,
0.813723,cyclist,cyclist,TP,,,,,,
0.19424285,car,None,FP,,,,,,
0.17356487,car,None,FP,,,,,,
0.14875029,car,None,FP,,,,,,
0.12125801,car,None,FP,,,,,,
0.12089536,car,None,FP,,,,,,
0.11575281,car,None,FP,,,,,,
0.11001391,car,car,TP,,,,,,
0.10954921,car,None,FP,,,,,,
0.10459598,car,None,FP,,,,,,
0.9897904,car,car,TP,,,,,,
0.8670324,cyclist,cyclist,TP,,,,,,
0.8258487,cyclist,cyclist,TP,,,,,,
0.7365662,cyclist,cyclist,TP,,,,,,
0.40035263,car,None,FP,,,,,,
0.3367091,car,None,FP,,,,,,
0.1961154,car,None,FP,,,,,,
0.15632565,car,None,FP,,,,,,
0.12979102,car,None,FP,,,,,,
0.12944531,car,None,FP,,,,,,
0.12806958,car,car,TP,,,,,,
0.11574389,car,None,FP,,,,,,
0.11314776,car,None,FP,,,,,,
0.11288759,car,None,FP,,,,,,
0.11203113,cyclist,None,FP,,,,,,
0.9745739,car,car,TP,,,,,,
0.9351748,cyclist,cyclist,TP,,,,,,
0.91484725,cyclist,cyclist,TP,,,,,,
0.63927525,cyclist,None,FP,,,,,,
0.12432362,car,None,FP,,,,,,
0.11759441,car,None,FP,,,,,,
0.114330076,car,None,FP,,,,,,
0.10712209,car,None,FP,,,,,,
0.9932201,car,car,TP,,,,,,
0.9633726,cyclist,cyclist,TP,,,,,,
0.8078145,cyclist,None,FP,,,,,,
0.6189488,cyclist,cyclist,TP,,,,,,
0.12569252,car,None,FP,,,,,,
0.12482465,car,None,FP,,,,,,
0.11782605,car,None,FP,,,,,,
0.11738414,car,None,FP,,,,,,
0.11063828,car,None,FP,,,,,,
0.109254695,car,None,FP,,,,,,
0.996427,car,car,TP,,,,,,
0.9582464,cyclist,cyclist,TP,,,,,,
0.9516167,cyclist,cyclist,TP,,,,,,
0.9115902,cyclist,cyclist,TP,,,,,,
0.15332273,car,None,FP,,,,,,
0.15127102,car,None,FP,,,,,,
0.110975526,car,None,FP,,,,,,
0.11022955,car,None,FP,,,,,,
0.10735562,car,None,FP,,,,,,
0.99511933,car,car,TP,,,,,,
0.92690194,cyclist,cyclist,TP,,,,,,
0.8731588,cyclist,None,FP,,,,,,
0.38187867,cyclist,None,FP,,,,,,
0.18171114,cyclist,None,FP,,,,,,
0.16378857,car,None,FP,,,,,,
0.15860379,car,None,FP,,,,,,
0.15495823,car,None,FP,,,,,,
0.10999097,car,None,FP,,,,,,
0.1081528,car,None,FP,,,,,,
0.1067539,car,None,FP,,,,,,
0.104841225,car,None,FP,,,,,,
0.10166122,car,None,FP,,,,,,
0.99796057,car,car,TP,,,,,,
0.941266,cyclist,cyclist,TP,,,,,,
0.6409424,cyclist,None,FP,,,,,,
0.32617885,cyclist,None,FP,,,,,,
0.1623883,car,None,FP,,,,,,
0.16043031,car,None,FP,,,,,,
0.12652537,car,None,FP,,,,,,
0.12498045,car,None,FP,,,,,,
0.119201116,car,None,FP,,,,,,
0.11917466,car,None,FP,,,,,,
0.118559875,car,None,FP,,,,,,
0.10899281,car,None,FP,,,,,,
0.10380528,car,None,FP,,,,,,
0.9929605,car,car,TP,,,,,,
0.96296704,cyclist,cyclist,TP,,,,,,
0.7894918,cyclist,None,FP,,,,,,
0.4118698,car,None,FP,,,,,,
0.34473732,car,None,FP,,,,,,
0.24748752,car,None,FP,,,,,,
0.23712446,car,None,FP,,,,,,
0.18017012,cyclist,None,FP,,,,,,
0.12934998,car,None,FP,,,,,,
0.12815575,car,None,FP,,,,,,
0.11023554,car,None,FP,,,,,,
0.9868122,car,car,TP,,,,,,
0.9305492,cyclist,cyclist,TP,,,,,,
0.85299075,cyclist,cyclist,TP,,,,,,
0.15296055,cyclist,None,FP,,,,,,
0.13231638,car,None,FP,,,,,,
0.13069598,car,None,FP,,,,,,
0.11656051,car,None,FP,,,,,,
0.1159011,car,None,FP,,,,,,
0.11459043,car,None,FP,,,,,,
0.10438458,car,None,FP,,,,,,
0.975469,car,car,TP,,,,,,
0.89142585,cyclist,cyclist,TP,,,,,,
0.7148245,cyclist,cyclist,TP,,,,,,
0.2114778,car,None,FP,,,,,,
0.19026221,car,None,FP,,,,,,
0.1685346,cyclist,None,FP,,,,,,
0.15200877,car,None,FP,,,,,,
0.14113486,car,None,FP,,,,,,
0.11207012,car,None,FP,,,,,,
0.10581977,car,None,FP,,,,,,
0.10469275,car,None,FP,,,,,,
0.103477366,car,None,FP,,,,,,
0.975076,car,car,TP,,,,,,
0.9692314,cyclist,None,FP,,,,,,
0.5437452,cyclist,cyclist,TP,,,,,,
0.20432395,car,None,FP,,,,,,
0.19834447,car,None,FP,,,,,,
0.16688679,car,None,FP,,,,,,
0.16237742,car,None,FP,,,,,,
0.14946002,car,None,FP,,,,,,
0.14046244,car,None,FP,,,,,,
0.10614026,car,None,FP,,,,,,
0.10564716,car,None,FP,,,,,,
0.99015826,car,car,TP,,,,,,
0.9817152,cyclist,cyclist,TP,,,,,,
0.8932268,cyclist,cyclist,TP,,,,,,
0.26027688,car,None,FP,,,,,,
0.15005516,cyclist,None,FP,,,,,,
0.14400451,car,None,FP,,,,,,
0.14078578,car,None,FP,,,,,,
0.13374797,car,None,FP,,,,,,
0.12917149,car,None,FP,,,,,,
0.1175994,car,None,FP,,,,,,
0.100469545,car,None,FP,,,,,,
0.95625484,cyclist,cyclist,TP,,,,,,
0.81269413,car,car,TP,,,,,,
0.29944286,cyclist,cyclist,TP,,,,,,
0.22240888,car,None,FP,,,,,,
0.1614607,car,None,FP,,,,,,
0.11953754,car,None,FP,,,,,,
0.11876627,car,None,FP,,,,,,
0.112925224,car,None,FP,,,,,,
0.95135814,cyclist,cyclist,TP,,,,,,
0.47447306,car,car,TP,,,,,,
0.2508957,cyclist,None,FP,,,,,,
0.18382491,car,None,FP,,,,,,
0.12579729,car,None,FP,,,,,,
0.1254734,car,None,FP,,,,,,
0.11603705,car,None,FP,,,,,,
0.115476266,car,None,FP,,,,,,
0.10837178,car,None,FP,,,,,,
0.104768194,car,None,FP,,,,,,
0.95111436,cyclist,cyclist,TP,,,,,,
0.804076,cyclist,None,FP,,,,,,
0.2537603,car,None,FP,,,,,,
0.21128224,car,None,FP,,,,,,
0.21073249,car,None,FP,,,,,,
0.13540518,car,None,FP,,,,,,
0.117379725,cyclist,None,FP,,,,,,
0.10773259,car,None,FP,,,,,,
0.10397983,car,None,FP,,,,,,
0.10239828,cyclist,None,FP,,,,,,
0.9537119,cyclist,cyclist,TP,,,,,,
0.16905369,car,None,FP,,,,,,
0.15927462,car,None,FP,,,,,,
0.13601677,cyclist,cyclist,TP,,,,,,
0.12850192,car,None,FP,,,,,,
0.12215547,cyclist,None,FP,,,,,,
0.11655505,car,None,FP,,,,,,
0.1151344,car,None,FP,,,,,,
0.11047544,car,None,FP,,,,,,
0.10802064,car,None,FP,,,,,,
0.10800027,car,None,FP,,,,,,
0.9142977,cyclist,cyclist,TP,,,,,,
0.29756796,car,car,TP,,,,,,
0.26087537,car,None,FP,,,,,,
0.21006519,car,None,FP,,,,,,
0.15933451,car,None,FP,,,,,,
0.15223761,car,None,FP,,,,,,
0.14407878,car,None,FP,,,,,,
0.14391212,cyclist,None,FP,,,,,,
0.13913748,car,None,FP,,,,,,
0.11191909,car,None,FP,,,,,,
0.93735623,cyclist,cyclist,TP,,,,,,
0.31697083,car,None,FP,,,,,,
0.2893028,cyclist,None,FP,,,,,,
0.262236,car,None,FP,,,,,,
0.12015141,car,None,FP,,,,,,
0.10592002,car,None,FP,,,,,,
0.10445834,car,None,FP,,,,,,
0.10429293,car,None,FP,,,,,,
0.103605546,car,None,FP,,,,,,
0.94575816,cyclist,cyclist,TP,,,,,,
0.49517095,car,car,TP,,,,,,
0.2559173,car,None,FP,,,,,,
0.2056733,car,None,FP,,,,,,
0.19417185,car,None,FP,,,,,,
0.19348489,car,None,FP,,,,,,
0.14324863,car,None,FP,,,,,,
0.13997301,car,None,FP,,,,,,
0.13916053,cyclist,cyclist,TP,,,,,,
0.13387124,cyclist,None,FP,,,,,,
0.13186277,car,None,FP,,,,,,
0.11352272,car,None,FP,,,,,,
0.11297445,car,None,FP,,,,,,
0.11021536,car,None,FP,,,,,,
0.10656135,car,None,FP,,,,,,
0.103191726,car,None,FP,,,,,,
0.9296992,cyclist,cyclist,TP,,,,,,
0.35910714,car,None,FP,,,,,,
0.17523988,car,None,FP,,,,,,
0.1725434,car,None,FP,,,,,,
0.15442723,car,None,FP,,,,,,
0.13269116,cyclist,None,FP,,,,,,
0.12908569,car,None,FP,,,,,,
0.12201483,car,None,FP,,,,,,
0.11903162,car,None,FP,,,,,,
0.112160526,cyclist,None,FP,,,,,,
0.111882,car,None,FP,,,,,,
0.11132167,car,None,FP,,,,,,
0.11085064,car,None,FP,,,,,,
0.10352309,car,None,FP,,,,,,
0.8757044,cyclist,cyclist,TP,,,,,,
0.26894712,cyclist,None,FP,,,,,,
0.24870917,car,None,FP,,,,,,
0.23275542,car,None,FP,,,,,,
0.15958776,car,None,FP,,,,,,
0.13505095,car,None,FP,,,,,,
0.12570496,car,None,FP,,,,,,
0.12201444,cyclist,None,FP,,,,,,
0.11358432,car,None,FP,,,,,,
0.10978251,car,None,FP,,,,,,
0.107768506,cyclist,None,FP,,,,,,
0.10499853,car,None,FP,,,,,,
0.10166446,car,None,FP,,,,,,
0.933434,cyclist,cyclist,TP,,,,,,
0.20726651,car,None,FP,,,,,,
0.16949442,car,None,FP,,,,,,
0.12449816,car,None,FP,,,,,,
0.123585835,car,None,FP,,,,,,
0.113251604,car,None,FP,,,,,,
0.1068166,car,None,FP,,,,,,
0.10458172,car,None,FP,,,,,,
0.9233426,cyclist,cyclist,TP,,,,,,
0.14857545,car,None,FP,,,,,,
0.14193688,car,None,FP,,,,,,
0.13477445,car,None,FP,,,,,,
0.13456264,car,None,FP,,,,,,
0.1331194,car,None,FP,,,,,,
0.12407482,car,None,FP,,,,,,
0.11724482,car,None,FP,,,,,,
0.11696724,car,None,FP,,,,,,
0.10872445,car,None,FP,,,,,,
0.10014224,car,None,FP,,,,,,
0.94409937,cyclist,cyclist,TP,,,,,,
0.26644158,car,None,FP,,,,,,
0.2653965,car,None,FP,,,,,,
0.22199522,car,None,FP,,,,,,
0.17057368,car,None,FP,,,,,,
0.16717231,cyclist,None,FP,,,,,,
0.1330358,car,None,FP,,,,,,
0.1323699,car,None,FP,,,,,,
0.12842338,car,None,FP,,,,,,
0.11819904,car,None,FP,,,,,,
0.11772672,car,None,FP,,,,,,
0.11412405,car,None,FP,,,,,,
0.97664714,cyclist,cyclist,TP,,,,,,
0.35347587,car,None,FP,,,,,,
0.35263416,car,None,FP,,,,,,
0.17465949,car,None,FP,,,,,,
0.14231649,car,None,FP,,,,,,
0.1105137,car,None,FP,,,,,,
0.10975814,car,None,FP,,,,,,
0.10771347,car,None,FP,,,,,,
0.105181515,car,None,FP,,,,,,
0.10436453,car,None,FP,,,,,,
0.9271359,cyclist,cyclist,TP,,,,,,
0.206024,car,None,FP,,,,,,
0.18209189,car,None,FP,,,,,,
0.14376196,car,None,FP,,,,,,
0.14089566,car,None,FP,,,,,,
0.12613763,car,None,FP,,,,,,
0.11408579,car,None,FP,,,,,,
0.11136924,car,None,FP,,,,,,
0.10638134,car,None,FP,,,,,,
0.10526506,car,None,FP,,,,,,
0.101746224,car,None,FP,,,,,,
0.9548857,cyclist,cyclist,TP,,,,,,
0.53247285,cyclist,cyclist,TP,,,,,,
0.31658494,cyclist,None,FP,,,,,,
0.28944018,car,None,FP,,,,,,
0.2731531,car,None,FP,,,,,,
0.26797956,car,None,FP,,,,,,
0.25689688,car,None,FP,,,,,,
0.20084786,car,None,FP,,,,,,
0.1589383,car,None,FP,,,,,,
0.15487789,car,None,FP,,,,,,
0.14054246,car,None,FP,,,,,,
0.12544358,car,None,FP,,,,,,
0.11389309,car,None,FP,,,,,,
0.107130855,car,None,FP,,,,,,
0.1055844,car,None,FP,,,,,,
0.10552955,car,None,FP,,,,,,
0.94081545,cyclist,cyclist,TP,,,,,,
0.7663631,car,None,FP,,,,,,
0.49498454,car,None,FP,,,,,,
0.34825668,car,None,FP,,,,,,
0.21576692,cyclist,cyclist,TP,,,,,,
0.19806062,car,None,FP,,,,,,
0.1635067,car,None,FP,,,,,,
0.16245058,car,None,FP,,,,,,
0.16171063,car,None,FP,,,,,,
0.15480879,car,None,FP,,,,,,
0.12932287,car,None,FP,,,,,,
0.11697317,car,None,FP,,,,,,
0.11466163,car,None,FP,,,,,,
0.112472,car,None,FP,,,,,,
0.11061375,car,None,FP,,,,,,
0.92228985,cyclist,cyclist,TP,,,,,,
0.34373692,cyclist,cyclist,TP,,,,,,
0.28667694,car,None,FP,,,,,,
0.16323297,car,None,FP,,,,,,
0.1587715,car,None,FP,,,,,,
0.13638026,car,None,FP,,,,,,
0.12250201,car,None,FP,,,,,,
0.11747176,car,None,FP,,,,,,
0.11707238,car,None,FP,,,,,,
0.5807664,car,None,FP,,,,,,
0.28519335,cyclist,None,FP,,,,,,
0.19758789,car,None,FP,,,,,,
0.18791658,car,None,FP,,,,,,
0.18509822,car,None,FP,,,,,,
0.18259104,car,None,FP,,,,,,
0.16318901,cyclist,None,FP,,,,,,
0.1608404,car,None,FP,,,,,,
0.123146705,cyclist,None,FP,,,,,,
0.10865983,car,None,FP,,,,,,
0.108376995,car,None,FP,,,,,,
0.10737144,car,None,FP,,,,,,
0.10275412,car,None,FP,,,,,,
0.1019309,cyclist,None,FP,,,,,,
0.8490504,cyclist,cyclist,TP,,,,,,
0.19108115,car,None,FP,,,,,,
0.17109893,car,None,FP,,,,,,
0.1392219,car,None,FP,,,,,,
0.13458647,car,None,FP,,,,,,
0.13377291,car,None,FP,,,,,,
0.110347,car,None,FP,,,,,,
0.10721082,car,None,FP,,,,,,
0.10398679,car,None,FP,,,,,,
0.9944936,car,car,TP,,,,,,
0.97992057,car,car,TP,,,,,,
0.97263014,car,car,TP,,,,,,
0.97060937,car,car,TP,,,,,,
0.96882725,car,car,TP,,,,,,
0.9687581,car,car,TP,,,,,,
0.9510352,car,None,FP,,,,,,
0.93913937,car,None,FP,,,,,,
0.91559386,car,car,TP,,,,,,
0.8559593,car,car,TP,,,,,,
0.72062314,car,None,FP,,,,,,
0.9921944,car,car,TP,,,,,,
0.9872716,car,car,TP,,,,,,
0.9753964,car,car,TP,,,,,,
0.96968293,car,car,TP,,,,,,
0.96207315,car,car,TP,,,,,,
0.9594518,car,car,TP,,,,,,
0.9537523,car,car,TP,,,,,,
0.91950303,car,car,TP,,,,,,
0.6909797,car,None,FP,,,,,,
0.5676807,car,None,FP,,,,,,
0.9862092,car,car,TP,,,,,,
0.9782103,car,car,TP,,,,,,
0.9431836,car,car,TP,,,,,,
0.9419578,car,car,TP,,,,,,
0.9271347,car,None,FP,,,,,,
0.923331,car,car,TP,,,,,,
0.92112905,car,car,TP,,,,,,
0.89446807,car,car,TP,,,,,,
0.88296604,car,None,FP,,,,,,
0.8467129,car,car,TP,,,,,,
0.5482688,car,None,FP,,,,,,
0.48150274,car,None,FP,,,,,,
0.9847846,car,car,TP,,,,,,
0.9795424,car,car,TP,,,,,,
0.9756639,car,car,TP,,,,,,
0.9713368,car,car,TP,,,,,,
0.97113466,car,car,TP,,,,,,
0.9669516,car,car,TP,,,,,,
0.9642664,car,car,TP,,,,,,
0.9385453,car,car,TP,,,,,,
0.5647592,car,None,FP,,,,,,
0.5216319,car,None,FP,,,,,,
0.49416795,car,None,FP,,,,,,
0.4854215,cyclist,None,FP,,,,,,
0.48011222,car,None,FP,,,,,,
0.41618267,car,None,FP,,,,,,
0.40675217,cyclist,None,FP,,,,,,
0.99635065,car,car,TP,,,,,,
0.9860212,car,car,TP,,,,,,
0.9793306,car,car,TP,,,,,,
0.97766215,car,car,TP,,,,,,
0.9717235,car,car,TP,,,,,,
0.95582837,car,car,TP,,,,,,
0.9117777,car,car,TP,,,,,,
0.84587383,car,car,TP,,,,,,
0.80314523,car,None,FP,,,,,,
0.62518513,car,None,FP,,,,,,
0.60898155,car,None,FP,,,,,,
0.37319177,car,None,FP,,,,,,
0.98796856,car,car,TP,,,,,,
0.98142517,car,car,TP,,,,,,
0.97325236,car,car,TP,,,,,,
0.96746373,car,car,TP,,,,,,
0.96157026,car,car,TP,,,,,,
0.9558489,car,car,TP,,,,,,
0.95100397,car,car,TP,,,,,,
0.8930903,car,car,TP,,,,,,
0.7136915,car,None,FP,,,,,,
0.39765045,car,None,FP,,,,,,
0.33032748,car,None,FP,,,,,,
0.99278224,car,car,TP,,,,,,
0.9723927,car,car,TP,,,,,,
0.97209656,car,car,TP,,,,,,
0.96805614,car,car,TP,,,,,,
0.9655286,car,car,TP,,,,,,
0.95359993,car,car,TP,,,,,,
0.94955254,car,car,TP,,,,,,
0.9269252,car,car,TP,,,,,,
0.8390629,car,None,FP,,,,,,
0.82447416,car,None,FP,,,,,,
0.6185157,car,None,FP,,,,,,
0.5079836,car,None,FP,,,,,,
0.9900795,car,car,TP,,,,,,
0.97397804,car,car,TP,,,,,,
0.9700493,car,car,TP,,,,,,
0.96856046,car,car,TP,,,,,,
0.9579538,car,car,TP,,,,,,
0.9499626,car,None,FP,,,,,,
0.93859106,car,car,TP,,,,,,
0.93726313,car,car,TP,,,,,,
0.8688579,car,car,TP,,,,,,
0.74220496,car,None,FP,,,,,,
0.6537926,car,None,FP,,,,,,
0.61252505,car,None,FP,,,,,,
0.9892841,car,car,TP,,,,,,
0.98566574,car,car,TP,,,,,,
0.97413695,car,car,TP,,,,,,
0.9720605,car,car,TP,,,,,,
0.97148377,car,car,TP,,,,,,
0.9700552,car,car,TP,,,,,,
0.95172113,car,car,TP,,,,,,
0.89072675,car,car,TP,,,,,,
0.4977691,car,None,FP,,,,,,
0.3475137,car,None,FP,,,,,,
0.29623768,car,None,FP,,,,,,
0.98995787,car,car,TP,,,,,,
0.9732789,car,car,TP,,,,,,
0.96245694,car,car,TP,,,,,,
0.9544434,car,car,TP,,,,,,
0.9543736,car,car,TP,,,,,,
0.9524797,car,car,TP,,,,,,
0.936921,car,car,TP,,,,,,
0.8820572,car,car,TP,,,,,,
0.34063306,car,None,FP,,,,,,
0.29402718,car,None,FP,,,,,,
0.2476491,car,None,FP,,,,,,
0.22442943,car,None,FP,,,,,,
0.98931587,car,car,TP,,,,,,
0.9813182,car,car,TP,,,,,,
0.9654516,car,car,TP,,,,,,
0.9577085,car,car,TP,,,,,,
0.9555237,car,car,TP,,,,,,
0.9453752,car,car,TP,,,,,,
0.92866,car,car,TP,,,,,,
0.8866774,car,car,TP,,,,,,
0.87397504,car,None,FP,,,,,,
0.8305135,car,None,FP,,,,,,
0.50334436,car,None,FP,,,,,,
0.9950794,car,car,TP,,,,,,
0.97069037,car,car,TP,,,,,,
0.9634959,car,car,TP,,,,,,
0.9627902,car,car,TP,,,,,,
0.96012527,car,car,TP,,,,,,
0.9368466,car,car,TP,,,,,,
0.8983341,car,None,FP,,,,,,
0.8961265,car,car,TP,,,,,,
0.86445826,car,car,TP,,,,,,
0.7304682,car,None,FP,,,,,,
0.5527284,car,None,FP,,,,,,
0.42352128,car,None,FP,,,,,,
0.98539585,car,car,TP,,,,,,
0.98281014,car,car,TP,,,,,,
0.97844875,car,car,TP,,,,,,
0.97494465,car,car,TP,,,,,,
0.967469,car,car,TP,,,,,,
0.9376261,car,car,TP,,,,,,
0.89965886,car,car,TP,,,,,,
0.89121115,car,car,TP,,,,,,
0.6551121,car,car,TP,,,,,,
0.43603343,car,None,FP,,,,,,
0.37873974,car,None,FP,,,,,,
0.99408346,car,car,TP,,,,,,
0.98417896,car,car,TP,,,,,,
0.97206175,car,car,TP,,,,,,
0.9688455,car,car,TP,,,,,,
0.9661578,car,car,TP,,,,,,
0.9589522,car,car,TP,,,,,,
0.95460397,car,car,TP,,,,,,
0.9493755,car,car,TP,,,,,,
0.9325464,car,car,TP,,,,,,
0.72883767,car,None,FP,,,,,,
0.5767672,car,None,FP,,,,,,
0.5423281,car,None,FP,,,,,,
0.4988551,car,car,TP,,,,,,
0.99385405,car,car,TP,,,,,,
0.983383,car,car,TP,,,,,,
0.9707099,car,car,TP,,,,,,
0.9586631,car,car,TP,,,,,,
0.95605224,car,car,TP,,,,,,
0.94456667,car,car,TP,,,,,,
0.9425592,car,car,TP,,,,,,
0.93811476,car,car,TP,,,,,,
0.8435518,car,None,FP,,,,,,
0.77078587,car,car,TP,,,,,,
0.45481086,car,car,TP,,,,,,
0.97972655,car,car,TP,,,,,,
0.9782697,car,car,TP,,,,,,
0.96462905,car,car,TP,,,,,,
0.9646172,car,car,TP,,,,,,
0.9520978,car,car,TP,,,,,,
0.9444375,car,car,TP,,,,,,
0.9441344,car,car,TP,,,,,,
0.94223154,car,car,TP,,,,,,
0.5697763,car,car,TP,,,,,,
0.3718679,car,None,FP,,,,,,
0.31459486,car,None,FP,,,,,,
0.27031827,cyclist,None,FP,,,,,,
0.9939798,car,car,TP,,,,,,
0.99168456,car,car,TP,,,,,,
0.9719572,car,car,TP,,,,,,
